fips	june2011	dec2012
01001	0.8333	0.8091
01003	0.9488	0.9465
01005	0.7846	0.7649
01007	0.5929	0.4374
01009	0.9394	0.9202
01011	0.9497	0.9647
01013	0.8481	0.8649
01015	0.9436	0.9312
01017	0.8563	0.8738
01019	0.8148	0.7170
01021	0.7935	0.7535
01023	0.7470	0.6861
01025	0.5400	0.4892
01027	0.7189	0.7396
01029	0.7212	0.6763
01031	0.8525	0.8608
01033	0.8205	0.8413
01035	0.3183	0.2553
01037	0.7377	0.8029
01039	0.8076	0.7835
01041	0.5795	0.6540
01043	0.9182	0.9013
01045	0.8720	0.9368
01047	0.8853	0.8755
01049	0.9670	0.9621
01051	0.9128	0.8739
01053	0.7207	0.7203
01055	0.9584	0.9598
01057	0.6303	0.5847
01059	0.7175	0.7476
01061	0.6800	0.6874
01063	0.4743	0.4509
01065	0.6855	0.6579
01067	0.6959	0.6972
01069	0.9278	0.9300
01071	0.8910	0.9110
01073	0.9914	0.9910
01075	0.5614	0.6009
01077	0.8040	0.7671
01079	0.7089	0.6670
01081	0.9706	0.9710
01083	0.9413	0.9455
01085	0.6812	0.6195
01087	0.7910	0.7702
01089	0.9697	0.9649
01091	0.8336	0.8229
01093	0.7539	0.7970
01095	0.9625	0.9781
01097	0.9727	0.9651
01099	0.5003	0.5008
01101	0.9733	0.9696
01103	0.9726	0.9778
01105	0.6034	0.5404
01107	0.7517	0.7689
01109	0.8074	0.8435
01111	0.8409	0.8313
01113	0.9152	0.8575
01115	0.8933	0.9131
01117	0.9846	0.9839
01119	0.6919	0.6889
01121	0.9206	0.9112
01123	0.9292	0.9373
01125	0.9242	0.9192
01127	0.8283	0.8383
01129	0.7374	0.6822
01131	0.5676	0.5703
01133	0.6323	0.6885
02013	0.0000	0.0000
02016	0.0000	0.0000
02020	0.9944	0.9933
02050	0.0000	0.3915
02060	0.0000	0.0000
02068	0.8235	0.9087
02070	0.0000	0.1618
02090	0.8379	0.8468
02100	0.7307	0.7205
02105	0.1425	0.1434
02110	0.9765	0.9741
02122	0.6920	0.6718
02130	0.9748	0.9741
02150	0.8315	0.7927
02164	0.0000	0.0488
02170	0.8408	0.8390
02180	0.0000	0.0000
02185	0.0000	0.0000
02188	0.0000	0.0000
02195	0.6419	0.6324
02198	0.4095	0.4030
02220	0.9409	0.9462
02230	0.9435	0.9414
02240	0.3811	0.4468
02261	0.7874	0.7677
02270	0.0000	0.0000
02275	0.7441	0.8208
02282	0.0000	0.0000
02290	0.1284	0.1690
04001	0.2400	0.3455
04003	0.9790	0.9804
04005	0.6478	0.6404
04007	0.6284	0.6689
04009	0.9369	0.9238
04011	0.9594	0.9521
04012	0.5480	0.5508
04013	0.9957	0.9934
04015	0.9127	0.9379
04017	0.5957	0.6293
04019	0.9941	0.9928
04021	0.9430	0.9174
04023	0.8271	0.8736
04025	0.9053	0.9049
04027	0.8576	0.9698
05001	0.9240	0.9212
05003	0.7957	0.7791
05005	0.9438	0.9429
05007	0.9641	0.9649
05009	0.9456	0.9456
05011	0.5604	0.8285
05013	0.0799	0.6267
05015	0.7926	0.8044
05017	0.8000	0.7892
05019	0.7929	0.7723
05021	0.9153	0.9161
05023	0.8716	0.8702
05025	0.6149	0.6453
05027	0.8320	0.8052
05029	0.7366	0.7486
05031	0.9741	0.9565
05033	0.9017	0.9110
05035	0.8692	0.8762
05037	0.7390	0.7576
05039	0.7307	0.7115
05041	0.8872	0.8602
05043	0.6390	0.6427
05045	0.9592	0.9678
05047	0.8546	0.8563
05049	0.8932	0.8891
05051	0.9507	0.9484
05053	0.7915	0.7882
05055	0.7677	0.7693
05057	0.7644	0.7980
05059	0.5445	0.7793
05061	0.5950	0.7456
05063	0.7873	0.7888
05065	0.8715	0.8687
05067	0.8294	0.7976
05069	0.8304	0.8358
05071	0.8090	0.7973
05073	0.3904	0.8157
05075	0.7923	0.7660
05077	0.6088	0.6076
05079	0.7839	0.7741
05081	0.6186	0.8222
05083	0.8637	0.8712
05085	0.9862	0.9871
05087	0.6685	0.6784
05089	0.8318	0.8284
05091	0.9609	0.9319
05093	0.9098	0.9128
05095	0.7763	0.7252
05097	0.7484	0.7332
05099	0.7310	0.7327
05101	0.7251	0.7564
05103	0.7206	0.7679
05105	0.7027	0.6817
05107	0.8692	0.8291
05109	0.8650	0.8621
05111	0.8472	0.8377
05113	0.7924	0.8200
05115	0.9523	0.9523
05117	0.8926	0.8936
05119	0.9860	0.9872
05121	0.8589	0.8426
05123	0.6611	0.6710
05125	0.9132	0.8672
05127	0.7149	0.6672
05129	0.7100	0.7182
05131	0.9859	0.9862
05133	0.8515	0.8935
05135	0.8634	0.8684
05137	0.8198	0.8353
05139	0.9064	0.9036
05141	0.6981	0.6983
05143	0.9642	0.9738
05145	0.9346	0.9339
05147	0.8811	0.8831
05149	0.6260	0.5423
06001	0.9988	0.9995
06003	0.5421	0.8571
06005	0.9146	0.8767
06007	0.9903	0.9884
06009	0.8763	0.8490
06011	0.9386	0.9349
06013	0.9996	0.9998
06015	0.8891	0.9113
06017	0.9010	0.8815
06019	0.9925	0.9865
06021	0.9696	0.9636
06023	0.7935	0.8957
06025	0.8754	0.9421
06027	0.4546	0.4704
06029	0.9263	0.9420
06031	0.9384	0.9470
06033	0.9913	0.9923
06035	0.7937	0.7716
06037	0.9979	0.9983
06039	0.9891	0.9902
06041	0.9792	0.9864
06043	0.7622	0.7981
06045	0.7007	0.8003
06047	0.9991	0.9989
06049	0.4121	0.2182
06051	0.6103	0.6306
06053	0.8941	0.9104
06055	0.9985	0.9991
06057	0.7756	0.9417
06059	0.9997	0.9993
06061	0.9478	0.9560
06063	0.8535	0.8499
06065	0.9798	0.9834
06067	0.9999	0.9999
06069	0.8957	0.9355
06071	0.9626	0.9626
06073	0.9790	0.9866
06075	1.0000	1.0000
06077	1.0000	1.0000
06079	0.9031	0.9188
06081	0.9973	0.9963
06083	0.9675	0.9786
06085	0.9995	0.9993
06087	0.9995	0.9935
06089	0.9939	0.9934
06091	0.8904	0.9013
06093	0.9598	0.8968
06095	1.0000	1.0000
06097	0.9775	0.9845
06099	0.9996	0.9996
06101	1.0000	1.0000
06103	0.9734	0.9778
06105	0.4953	0.4285
06107	0.9827	0.9814
06109	0.7035	0.6558
06111	0.9921	0.9924
06113	0.9991	0.9991
06115	0.9979	0.9978
08001	0.9981	0.9991
08003	0.9962	0.9963
08005	0.9996	0.9999
08007	0.8435	0.9119
08009	0.9431	0.9261
08011	0.9940	0.9856
08013	0.9901	0.9960
08014	1.0000	1.0000
08015	0.6671	0.6864
08017	0.9009	0.8504
08019	0.8732	0.8992
08021	0.9228	0.9207
08023	0.9943	0.9782
08025	0.9807	0.9693
08027	0.5074	0.6793
08029	0.9543	0.9952
08031	1.0000	1.0000
08033	0.7373	0.7160
08035	0.9965	0.9978
08037	0.7527	0.9337
08039	0.7572	0.9071
08041	0.9728	0.9942
08043	0.8765	0.9221
08045	0.9411	0.9931
08047	0.8941	1.0000
08049	0.7555	0.9715
08051	0.6544	0.7000
08053	0.6818	0.7884
08055	0.6658	0.6920
08057	0.0067	0.0072
08059	0.9962	0.9972
08061	0.8855	0.8471
08063	0.7553	0.7725
08065	0.8069	0.8036
08067	0.7824	0.9146
08069	0.9712	0.9850
08071	0.6410	0.7263
08073	0.9182	0.9119
08075	0.9388	0.9805
08077	0.9683	0.9764
08079	0.4868	0.5290
08081	0.8509	0.8638
08083	0.7154	0.7051
08085	0.9320	0.9273
08087	0.8957	0.9421
08089	0.9966	0.9923
08091	0.7680	0.9497
08093	0.5714	0.8280
08095	0.8480	0.9981
08097	0.8484	0.9523
08099	0.9913	0.9926
08101	0.8315	0.9823
08103	0.6932	0.7638
08105	0.7863	0.7751
08107	0.9077	0.9358
08109	0.8308	0.8463
08111	0.6212	0.8048
08113	0.4584	0.5375
08115	0.7154	0.8761
08117	0.9447	0.9872
08119	0.7696	0.9979
08121	0.6335	0.6033
08123	0.9826	0.9923
08125	0.6634	0.6796
09001	0.9993	0.9993
09003	0.9978	0.9978
09005	0.9881	0.9871
09007	0.9856	0.9873
09009	0.9971	0.9977
09011	0.9891	0.9891
09013	0.9954	0.9968
09015	0.9969	0.9965
10001	0.9643	0.9656
10003	0.9972	0.9967
10005	0.9576	0.9592
11001	0.9877	0.9878
12001	0.9667	0.8681
12003	0.9675	0.6432
12005	0.9870	0.9832
12007	0.9187	0.8027
12009	0.9986	0.9979
12011	0.9841	0.9988
12013	0.8047	0.4751
12015	0.9804	0.9853
12017	0.9804	0.9807
12019	0.9393	0.9373
12021	0.9798	0.9873
12023	0.9448	0.8074
12027	0.9524	0.9829
12029	0.7347	0.6555
12031	0.9505	0.9899
12033	0.9801	0.9792
12035	0.9908	0.9905
12037	0.9202	0.9068
12039	0.9548	0.8545
12041	0.9796	0.6191
12043	0.8754	0.9015
12045	0.9701	0.9017
12047	0.8888	0.3631
12049	0.9064	0.9363
12051	0.8939	0.9407
12053	0.9890	0.9903
12055	0.9828	0.9891
12057	0.9940	0.9968
12059	0.6652	0.6127
12061	0.9980	0.9979
12063	0.8170	0.8137
12065	0.8276	0.8590
12067	0.7720	0.0804
12069	0.9730	0.9836
12071	0.9884	0.9902
12073	0.9865	0.9919
12075	0.9232	0.9139
12077	0.7147	0.4511
12079	0.8094	0.8361
12081	0.9842	0.9829
12083	0.9713	0.9268
12085	0.9791	0.9927
12086	0.9507	0.9873
12087	0.9546	0.9439
12089	0.9406	0.8194
12091	0.9786	0.9797
12093	0.9822	0.9905
12095	0.9999	1.0000
12097	0.9983	1.0000
12099	0.9916	0.9996
12101	0.9938	0.9952
12103	0.9987	0.9999
12105	0.9837	0.9862
12107	0.8817	0.7483
12109	0.9518	0.9253
12111	0.9849	0.9834
12113	0.9624	0.9568
