lon	lat	zip
-87.665	41.891	60642
-78.989	38.116	22939
-122.620	47.499	98367
-81.939	33.459	30901
-97.115	34.202	73402
-84.810	38.187	40601
-88.139	41.746	60565
-118.013	33.824	92804
-73.888	40.859	10458
-119.049	35.319	93309
-96.567	32.985	75098
-78.086	37.956	23093
-93.373	45.067	55428
-79.863	32.787	29464
-77.111	38.959	20816
-121.443	37.700	95377
-84.360	41.263	43512
-86.172	39.807	46208
-76.824	39.139	20763
-84.155	36.779	40769
-121.409	38.623	95821
-88.144	42.268	60084
-85.166	40.191	47368
-119.800	36.884	93636
-95.574	29.902	77064
-88.698	41.988	60178
-71.644	41.600	2822
-117.995	33.897	90638
-85.626	42.926	49506
-73.436	41.202	6897
-91.014	30.704	70770
-93.218	44.098	55060
-122.205	37.788	94619
-74.356	40.285	7726
-98.647	26.271	78582
-105.507	40.188	80540
-82.495	42.817	48079
-122.290	37.975	94803
-87.407	31.030	36502
-86.736	37.291	42333
-118.169	33.885	90723
-98.174	26.202	78577
-76.731	41.086	17777
-122.374	40.531	96001
-101.355	36.756	73945
-88.204	41.879	60185
-77.382	37.688	23116
-118.335	33.909	90250
-158.012	21.502	96786
-97.304	32.625	76140
-116.531	43.612	83687
-96.572	43.592	57005
-104.699	38.857	80915
-88.229	38.516	62446
-96.823	33.153	75034
-93.320	45.001	55422
-83.482	42.536	48390
-76.569	38.712	20736
-96.621	33.197	75069
-87.831	41.864	60130
-89.385	43.163	53597
-119.092	34.161	93033
-83.142	42.438	48221
-93.340	44.928	55416
-71.277	43.081	3034
-83.440	38.177	40351
-122.551	45.640	98684
-116.613	32.611	91906
-83.856	34.239	30504
-73.783	40.954	10804
-77.475	39.050	20147
-82.148	27.067	34288
-122.556	45.555	97220
-88.460	42.878	53119
-94.206	39.010	64029
-95.564	29.890	77040
-90.854	29.608	70360
-111.286	40.722	84055
-80.484	41.712	16424
-88.367	42.545	53147
-117.952	33.878	92833
-116.066	34.142	92277
-77.086	38.848	22206
-98.533	38.525	67525
-86.804	33.505	35233
-94.679	37.425	66762
-76.652	39.213	21090
-98.622	29.417	78227
-95.930	43.631	56110
-95.595	40.054	68355
-112.638	37.278	84758
-84.654	33.724	30135
-70.906	43.213	3821
-84.506	35.880	37763
-97.985	26.169	78599
-94.547	39.081	64127
-157.990	21.319	96706
-94.618	39.120	66101
-66.612	18.020	733
-96.713	39.685	66411
-72.894	44.510	5490
-72.553	41.679	6033
-92.999	44.997	55109
-95.366	29.717	77004
-122.426	37.798	94123
-76.476	37.053	23601
-91.728	45.480	54868
-87.865	42.896	53172
-112.203	33.438	85043
-89.732	35.121	38028
-85.875	39.610	46126
-85.142	34.232	30161
-84.764	34.786	30705
-77.025	38.917	20001
-100.477	28.689	78852
-111.884	40.551	84070
-107.225	41.801	82301
-99.764	28.437	78834
-81.739	26.276	34119
-116.372	43.610	83642
-72.436	43.122	5159
-118.034	34.054	91733
-83.837	31.537	31791
-79.976	39.660	26505
-81.588	41.531	44112
-71.065	42.307	2122
-105.100	40.195	80501
-83.936	43.435	48607
-97.279	36.789	74631
-73.989	40.716	10002
-71.129	42.381	2138
-88.104	42.014	60193
-84.197	33.494	30253
-76.963	40.202	17055
-74.766	40.220	8618
-88.048	44.484	54304
-97.798	30.214	78745
-95.286	29.572	77588
-98.640	26.310	78582
-77.254	36.920	23884
