startterminal hour startcount endcount
31000 0 7 12
31001 0 36 18
31002 0 17 16
31003 0 6 24
31004 0 5 9
31005 0 3 16
31006 0 14 21
31007 0 92 30
31008 0 10 35
31009 0 16 29
31010 0 6 31
31011 0 18 52
31012 0 5 2
31013 0 29 20
31014 0 55 135
31015 0 23 72
31016 0 30 30
31017 0 100 42
31018 0 10 28
31019 0 40 12
31020 0 37 22
31021 0 28 18
31022 0 108 28
31023 0 63 21
31024 0 33 30
31025 0 5 17
31026 0 20 8
31027 0 1 22
31028 0 16 16
31029 0 7 48
31030 0 7 56
31031 0 13 36
31032 0 4 23
31033 0 13 26
31034 0 26 40
31035 0 6 66
31036 0 4 17
31037 0 27 35
31038 0 12 5
31039 0 16 38
31040 0 9 8
31042 0 6 3
31043 0 1 1
31044 0 4 8
31045 0 4 5
31046 0 1 1
31047 0 1 5
31048 0 8 5
31050 0 4 9
31051 0 3 11
31100 0 104 39
31101 0 942 877
31102 0 433 461
31103 0 451 571
31104 0 821 659
31105 0 289 326
31106 0 262 364
31107 0 326 537
31108 0 89 246
31109 0 222 346
31110 0 248 368
31111 0 1003 679
31112 0 5 78
31113 0 208 320
31115 0 107 190
31116 0 395 533
31200 0 862 760
31201 0 424 511
31202 0 551 427
31203 0 472 658
31204 0 113 275
31205 0 286 220
31206 0 27 30
31207 0 26 199
31208 0 70 94
31209 0 119 17
31210 0 11 1
31211 0 17 8
31212 0 286 298
31213 0 196 104
31214 0 629 727
31215 0 110 30
31216 0 111 67
31217 0 73 55
31218 0 54 52
31219 0 63 40
31220 0 135 77
31221 0 212 143
31222 0 246 225
31223 0 347 484
31224 0 129 35
31225 0 206 126
31226 0 58 75
31227 0 119 81
31228 0 633 255
31229 0 465 647
31230 0 270 97
31231 0 45 33
31232 0 393 176
31233 0 200 95
31234 0 198 239
31235 0 183 180
31236 0 99 68
31237 0 247 319
31238 0 123 118
31239 0 153 188
31240 0 121 137
31241 0 411 606
31242 0 98 64
31243 0 100 51
31244 0 46 159
31245 0 173 354
31246 0 186 164
31247 0 172 217
31248 0 71 52
31249 0 112 90
31250 0 30 7
31251 0 72 144
31252 0 38 15
31253 0 36 18
31254 0 65 26
31255 0 35 77
31256 0 63 22
31257 0 83 117
31258 0 23 19
31300 0 50 89
31301 0 62 35
31302 0 39 83
31303 0 112 49
31304 0 30 20
31305 0 127 89
31306 0 30 47
31307 0 79 79
31400 0 171 252
31401 0 190 234
31402 0 21 96
31404 0 49 87
31500 0 21 84
31501 0 14 30
31502 0 2 15
31503 0 126 395
31504 0 18 37
31505 0 27 127
31506 0 131 356
31507 0 3 7
31508 0 14 36
31600 0 249 398
31601 0 24 54
31602 0 363 388
31603 0 130 236
31604 0 248 369
31605 0 167 144
31606 0 118 222
31607 0 41 159
31608 0 93 54
31609 0 22 89
31610 0 157 156
31611 0 348 265
31612 0 85 215
31613 0 444 280
31614 0 210 279
31615 0 110 193
31616 0 159 221
31617 0 35 154
31618 0 128 226
31619 0 109 390
31620 0 200 90
31621 0 65 33
31622 0 65 309
31623 0 454 261
31624 0 215 103
31625 0 27 69
31626 0 34 207
31628 0 110 225
31700 0 2 4
31703 0 28 19
31705 0 2 3
31707 0 5 8
31708 0 12 42
31805 0 1 4
31000 1 7 3
31001 1 21 9
31002 1 17 14
31003 1 7 18
31004 1 1 7
31005 1 2 5
31006 1 6 6
31007 1 44 31
31008 1 16 35
31010 1 10 30
31011 1 19 21
31012 1 3 1
31013 1 35 30
31014 1 30 125
31015 1 25 59
